time,open,high,low,close,volume
2021-04-15 19:00:00,415.83,415.88,415.62,415.83,115122
2021-04-15 18:00:00,415.83,415.95,415.77,415.87,76535
2021-04-15 17:00:00,415.86,415.93,415.62,415.79,2280483
2021-04-15 16:00:00,415.35,416.16,414.89,415.83,17411531
2021-04-15 15:00:00,415.405,415.79,415.18,415.36,6148255
2021-04-15 14:00:00,415.63,415.7,415.09,415.4091,4823521
2021-04-15 13:00:00,414.8159,415.68,414.7,415.6299,4192158
2021-04-15 12:00:00,414.92,415.46,414.52,414.82,7803361
2021-04-15 11:00:00,413.97,415.16,413.75,414.91,8932940
2021-04-15 10:00:00,413.8,414.37,413.47,413.95,6709476
2021-04-15 09:00:00,413.4001,414.12,412.24,413.79,431966
2021-04-15 08:00:00,413.44,413.67,413.08,413.67,221700
2021-04-15 07:00:00,413.09,413.5,413.05,413.5,13008
2021-04-15 06:00:00,413.31,413.4,413.13,413.14,19389
2021-04-15 05:00:00,413.19,413.34,413.11,413.31,19864
2021-04-14 20:00:00,412.02,412.02,411.73,411.82,98580
2021-04-14 19:00:00,411.9,412.2,411.8,411.96,89184
2021-04-14 18:00:00,411.78,411.95,411.45,411.94,64678
2021-04-14 17:00:00,411.5,411.97,411.45,411.82,5408043
2021-04-14 16:00:00,411.33,412.12,410.87,411.49,18285886
2021-04-14 15:00:00,412.11,412.59,411.19,411.35,10683533
2021-04-14 14:00:00,413.45,413.48,411.83,412.11,4648203
2021-04-14 13:00:00,413.4194,413.57,412.8899,413.445,3817815
2021-04-14 12:00:00,413.4,413.57,412.73,413.415,4510087
2021-04-14 11:00:00,413.82,413.96,413.19,413.41,6658068
2021-04-14 10:00:00,412.74,413.83,412.55,413.83,6092671
2021-04-14 09:00:00,413.2799,413.44,412.65,412.74,161411
2021-04-14 08:00:00,413.03,413.44,413.0,413.38,244352
2021-04-14 07:00:00,413.17,413.31,412.97,413.03,150300
2021-04-14 06:00:00,413.36,413.39,413.3,413.39,8395
2021-04-14 05:00:00,412.94,413.42,412.94,413.36,16883
2021-04-13 20:00:00,412.72,412.78,412.58,412.64,53953
2021-04-13 19:00:00,412.95,412.95,412.65,412.75,87511
2021-04-13 18:00:00,412.97,412.98,412.84,412.95,231943
2021-04-13 17:00:00,412.8,413.06,412.76,412.94,1262580
2021-04-13 16:00:00,413.04,413.529,412.7,412.8299,15489803
2021-04-13 15:00:00,412.185,413.12,412.15,413.045,6734137
2021-04-13 14:00:00,411.6219,412.27,411.54,412.18,7261701
2021-04-13 13:00:00,412.08,412.19,411.61,411.625,3795410
2021-04-13 12:00:00,411.827,412.21,411.74,412.077,4568843
2021-04-13 11:00:00,411.8,412.2,411.72,411.82,8018195
2021-04-13 10:00:00,411.77,411.91,411.12,411.8,5509986
2021-04-13 09:00:00,410.41,411.8,409.96,411.8,661527
2021-04-13 08:00:00,411.25,411.3,409.68,410.41,811927
2021-04-13 07:00:00,412.18,412.23,411.09,411.22,114844
2021-04-13 06:00:00,411.67,412.16,411.61,412.16,11542
2021-04-13 05:00:00,411.76,411.8,411.64,411.64,6062
2021-04-12 20:00:00,411.59,411.87,411.47,411.67,49584
2021-04-12 19:00:00,411.77,411.82,411.6,411.62,47929
2021-04-12 18:00:00,411.77,411.77,411.65,411.77,51080
2021-04-12 17:00:00,411.62,412.0,411.2197,411.78,3677748
2021-04-12 16:00:00,410.84,411.93,410.52,411.62,16091776
2021-04-12 15:00:00,410.74,411.13,410.635,410.84,6341473
2021-04-12 14:00:00,411.65,411.74,410.61,410.73,4953406
2021-04-12 13:00:00,411.15,411.79,410.81,411.65,5629733
2021-04-12 12:00:00,410.75,411.2,410.6,411.14,5790479
2021-04-12 11:00:00,410.87,411.21,410.2,410.7439,7476134
2021-04-12 10:00:00,410.99,411.49,410.45,410.88,5980088
2021-04-12 09:00:00,410.9,411.16,410.46,410.96,119676
2021-04-12 08:00:00,410.72,411.17,410.69,410.848,63336
2021-04-12 07:00:00,410.75,410.94,410.66,410.74,9914
2021-04-12 06:00:00,410.69,410.95,410.66,410.89,14829
2021-04-12 05:00:00,410.66,410.68,410.35,410.54,13932
2021-04-09 20:00:00,410.85,410.9,410.68,410.68,28669
2021-04-09 19:00:00,410.81,410.9,410.81,410.86,20953
2021-04-09 18:00:00,410.76,411.09,410.76,410.8199,151979
2021-04-09 17:00:00,411.48,411.59,410.59,411.49,5640666
2021-04-09 16:00:00,409.71,411.67,409.5,411.44,19483792
2021-04-09 15:00:00,409.805,409.95,409.59,409.71,5172160
2021-04-09 14:00:00,409.465,409.98,409.31,409.805,4144590
2021-04-09 13:00:00,409.375,409.53,409.14,409.4681,4216676
2021-04-09 12:00:00,408.635,409.47,408.565,409.38,4821588
2021-04-09 11:00:00,409.07,409.24,408.42,408.6343,10506275
2021-04-09 10:00:00,408.02,409.11,407.72,409.06,5170622
2021-04-09 09:00:00,408.9701,409.4299,407.9,408.04,614279
2021-04-09 08:00:00,408.75,409.42,408.75,409.09,138715
2021-04-09 07:00:00,408.89,409.0,408.59,408.78,19722
2021-04-09 06:00:00,408.95,408.96,408.7,408.96,9905
2021-04-09 05:00:00,409.12,409.13,408.56,409.03,19857
2021-04-08 20:00:00,409.29,409.52,409.15,409.52,49664
2021-04-08 19:00:00,409.37,409.37,409.07,409.3,103891
2021-04-08 18:00:00,409.3,409.45,409.27,409.42,168920
2021-04-08 17:00:00,408.48,409.39,408.1415,409.34,5232229
2021-04-08 16:00:00,408.45,408.58,407.97,408.49,11907693
2021-04-08 15:00:00,408.07,408.51,407.99,408.4553,5331230
2021-04-08 14:00:00,408.01,408.28,407.835,408.07,5010632
2021-04-08 13:00:00,407.884,408.39,407.79,408.01,5404321
2021-04-08 12:00:00,407.59,408.08,407.445,407.88,6174997
2021-04-08 11:00:00,407.74,407.94,406.93,407.58,9277943
2021-04-08 10:00:00,407.8,408.05,407.16,407.72,7583357
2021-04-08 09:00:00,407.8684,408.8,407.62,407.8,357254
2021-04-08 08:00:00,407.89,408.2,407.85,407.99,163320
2021-04-08 07:00:00,407.95,408.16,407.84,407.92,32825
