date,open,high,low,close,adj_close,volume
2019-08-06,2816.25,2883.75,2775.75,2876.0,2876.0,2601037
2019-08-07,2873.75,2891.5,2823.25,2880.5,2880.5,2680813
2019-08-08,2879.0,2940.75,2870.5,2940.0,2940.0,1800667
2019-08-09,2928.0,2935.75,2899.0,2919.75,2919.75,2026304
2019-08-12,2918.75,2931.0,2872.5,2880.25,2880.25,1710875
2019-08-13,2882.25,2944.25,2866.75,2932.0,2932.0,2184012
2019-08-14,2931.0,2936.5,2835.75,2840.75,2840.75,2786308
2019-08-15,2836.0,2871.75,2817.75,2848.5,2848.5,2495340
2019-08-16,2851.0,2894.75,2849.5,2891.5,2891.5,1631175
2019-08-19,2893.0,2932.25,2892.5,2923.75,2923.75,1285798
2019-08-20,2921.25,2932.25,2894.25,2898.25,2898.25,1475214
2019-08-21,2893.25,2932.5,2893.0,2929.25,2929.25,1180368
2019-08-22,2931.25,2939.75,2904.25,2922.25,2922.25,1470309
2019-08-23,2920.25,2936.75,2834.0,2855.5,2855.5,2864662
2019-08-26,2831.0,2888.5,2810.25,2883.25,2883.25,1850231
2019-08-27,2882.75,2899.5,2860.0,2865.5,2865.5,1528362
2019-08-28,2866.25,2890.5,2851.75,2889.75,2889.75,1489617
2019-08-29,2883.25,2930.75,2875.25,2926.75,2926.75,1489670
2019-08-30,2923.25,2946.5,2913.25,2924.75,2924.75,1642516
2019-09-03,2901.0,2926.5,2889.0,2906.0,2906.0,1999829
2019-09-04,2903.0,2939.5,2902.0,2938.5,2938.5,1252834
2019-09-05,2938.0,2986.5,2936.5,2972.0,2972.0,1669999
2019-09-06,2970.75,2988.25,2970.25,2980.75,2980.75,1182287
2019-09-09,2980.25,2991.5,2969.5,2978.25,2978.25,1199935
2019-09-10,2979.25,2985.0,2957.25,2978.5,2978.5,1493346
2019-09-11,2979.0,3004.25,2972.0,3002.0,3002.0,1423833
2019-09-12,3003.0,3021.75,3001.0,3011.75,3011.75,1745651
2019-09-13,3010.0,3023.75,3003.5,3006.5,3006.5,1275710
2019-09-16,2993.5,3003.25,2981.25,2999.0,2999.0,1197095
2019-09-17,3001.75,3006.5,2991.5,3005.5,3005.5,1096388
2019-09-18,3006.0,3011.0,2978.5,3006.25,3006.25,637344
2019-09-19,3008.0,3022.25,2988.75,3006.0,3006.0,372849
2019-09-20,3005.5,3015.5,3001.75,3013.610107421875,3013.610107421875,1476593
2019-09-23,2995.75,3008.25,2982.0,2997.0,2997.0,1044218
2019-09-24,3001.0,3012.25,2958.5,2970.25,2970.25,1936806
2019-09-25,2971.0,2991.75,2953.75,2986.25,2986.25,1501723
2019-09-26,2985.75,2995.0,2964.25,2980.5,2980.5,1351351
2019-09-27,2979.75,2993.0,2946.25,2963.75,2963.75,1673557
2019-09-30,2976.0,2986.25,2964.5,2978.5,2978.5,1155807
2019-10-01,2984.0,2994.5,2937.0,2937.75,2937.75,1601531
2019-10-02,2942.25,2949.0,2874.0,2880.5,2880.5,2126769
2019-10-03,2883.75,2912.5,2855.0,2911.75,2911.75,2037970
2019-10-04,2911.5,2953.25,2896.75,2951.0,2951.0,1497975
2019-10-07,2929.75,2959.5,2928.0,2937.5,2937.5,1266872
2019-10-08,2934.5,2950.0,2890.5,2892.5,2892.5,1865325
2019-10-09,2893.5,2934.25,2888.25,2919.0,2919.0,1305749
2019-10-10,2920.5,2954.0,2881.75,2941.0,2941.0,1577766
2019-10-11,2949.0,2994.0,2941.75,2970.75,2970.75,1743810
2019-10-14,2968.0,2982.5,2953.75,2965.5,2965.5,833670
2019-10-15,2966.75,3003.25,2966.5,2997.75,2997.75,1181207
2019-10-16,2996.5,2997.75,2984.75,2991.5,2991.5,1148118
2019-10-17,2992.25,3008.0,2985.25,2998.0,2998.0,1121748
2019-10-18,2997.75,3001.25,2975.0,2988.25,2988.25,1335276
2019-10-21,2984.75,3007.5,2983.75,3006.5,3006.5,886557
2019-10-22,3006.5,3014.25,2988.25,2994.5,2994.5,1125601
2019-10-23,2992.0,3006.0,2982.0,3005.75,3005.75,1055958
2019-10-24,3006.0,3015.25,2998.75,3004.25,3004.25,1061278
2019-10-25,3003.75,3026.5,3000.0,3020.25,3020.25,1098391
2019-10-28,3023.0,3042.75,3022.75,3036.25,3036.25,1041931
2019-10-29,3038.25,3046.25,3029.5,3035.75,3035.75,1040149
2019-10-30,3036.5,3055.0,3023.25,3047.75,3047.75,1179153
2019-10-31,3051.75,3052.0,3020.25,3035.75,3035.75,1766536
2019-11-01,3036.0,3065.0,3033.0,3063.25,3063.25,1279508
2019-11-04,3064.75,3083.75,3064.75,3075.75,3075.75,1179714
2019-11-05,3076.75,3085.75,3069.75,3072.0,3072.0,1124217
2019-11-06,3071.5,3078.0,3063.0,3075.5,3075.5,1076833
2019-11-07,3077.25,3097.0,3070.25,3086.0,3086.0,1353330
2019-11-08,3086.25,3092.5,3072.5,3090.5,3090.5,1080147
2019-11-11,3090.5,3092.25,3074.5,3087.5,3087.5,844597
2019-11-12,3087.75,3102.0,3081.25,3092.0,3092.0,1101243
2019-11-13,3091.25,3097.0,3075.75,3095.5,3095.5,1251057
2019-11-14,3096.25,3099.75,3081.75,3097.0,3097.0,1105353
2019-11-15,3097.0,3119.5,3095.75,3118.25,3118.25,1251167
2019-11-18,3119.0,3127.75,3111.0,3121.75,3121.75,1034214
2019-11-19,3121.5,3132.5,3112.75,3118.5,3118.5,1195901
2019-11-20,3116.5,3118.5,3090.75,3109.0,3109.0,1693828
2019-11-21,3097.25,3114.5,3091.25,3104.0,3104.0,1434552
2019-11-22,3104.0,3114.5,3097.75,3111.5,3111.5,995416
2019-11-25,3119.0,3133.5,3116.5,3132.75,3132.75,947831
2019-11-26,3131.25,3145.0,3128.0,3143.75,3143.75,1068011
2019-11-27,3143.75,3155.0,3141.75,3153.75,3153.75,928792
2019-12-02,3146.25,3158.0,3110.25,3114.25,3114.25,1927030
2019-12-03,3114.25,3121.75,3069.5,3091.0,3091.0,2146620
2019-12-04,3091.75,3119.5,3081.75,3111.0,3111.0,1485940
2019-12-05,3111.0,3124.75,3103.25,3117.75,3117.75,1318780
2019-12-06,3117.75,3151.0,3117.0,3146.0,3146.0,1300299
2019-12-09,3146.5,3149.5,3131.25,3134.5,3134.5,1145426
2019-12-10,3133.5,3143.0,3116.25,3136.0,3136.0,1425723
2019-12-11,3135.5,3144.5,3129.5,3143.0,3143.0,1225764
2019-12-12,3144.0,3177.5,3137.25,3168.0,3168.0,2379008
2019-12-13,3175.75,3185.0,3156.75,3172.0,3172.0,1834941
2019-12-16,3176.5,3198.75,3173.75,3194.25,3194.25,1413219
2019-12-17,3192.5,3199.25,3187.75,3192.0,3192.0,1032120
2019-12-18,3189.5,3199.0,3188.5,3194.75,3194.75,582632
