date,1. open,2. high,3. low,4. close,5. volume
2021-03-31 13:53:00,195.68,195.8582,195.1,195.1,15808.0
2021-03-31 13:52:00,195.4799,195.6675,195.2,195.59,6378.0
2021-03-31 13:51:00,195.235,195.5,195.1155,195.325,8505.0
2021-03-31 13:50:00,195.6899,195.6899,195.03,195.092,3404.0
2021-03-31 13:49:00,195.0001,195.57,195.0001,195.3401,3731.0
2021-03-31 13:48:00,195.5676,195.58,195.0,195.0,6518.0
2021-03-31 13:47:00,195.06,195.6,195.0316,195.5778,10439.0
2021-03-31 13:46:00,195.44,195.4584,194.85,194.93,8084.0
2021-03-31 13:45:00,195.0201,195.42,195.0201,195.39,7734.0
2021-03-31 13:44:00,195.119,195.43,195.09,195.1119,8486.0
2021-03-31 13:43:00,194.85,195.3,194.7628,195.0,11179.0
2021-03-31 13:42:00,194.8143,195.0659,194.5,194.73,19996.0
2021-03-31 13:41:00,195.66,195.79,194.6,194.87,20663.0
2021-03-31 13:40:00,196.0,196.132,195.44,195.7633,13177.0
2021-03-31 13:39:00,196.485,196.66,195.8,195.9255,13732.0
2021-03-31 13:38:00,196.69,196.94,196.4,196.59,17734.0
2021-03-31 13:37:00,195.66,196.8695,195.66,196.4801,41025.0
2021-03-31 13:36:00,196.19,196.41,195.561,195.5654,10038.0
2021-03-31 13:35:00,196.1204,196.5,196.0097,196.2224,11531.0
2021-03-31 13:34:00,196.1232,196.44,195.505,196.03,34978.0
2021-03-31 13:33:00,196.1054,197.06,196.045,196.4399,48728.0
2021-03-31 13:32:00,195.62,196.12,195.26,195.8528,34091.0
2021-03-31 13:31:00,195.194,195.8,195.0346,195.695,11567.0
2021-03-31 13:30:00,195.235,195.4,195.0,195.25,9405.0
2021-03-31 13:29:00,195.05,196.08,195.0,195.2,29525.0
2021-03-31 13:28:00,194.959,196.1,194.74,195.02,63816.0
2021-03-31 13:27:00,193.604,194.9572,193.604,194.94,26604.0
2021-03-31 13:26:00,193.6963,193.6963,193.6963,193.6963,1392.0
2021-03-31 13:25:00,193.4192,193.7873,193.39,193.5093,7519.0
2021-03-31 13:24:00,193.7405,193.8653,193.4412,193.55,3274.0
2021-03-31 13:23:00,193.4,193.9471,193.39,193.86,10443.0
2021-03-31 13:22:00,193.3919,193.5,193.29,193.39,10867.0
2021-03-31 13:21:00,193.28,193.488,193.27,193.3,7018.0
2021-03-31 13:20:00,193.15,193.15,193.02,193.15,3016.0
2021-03-31 13:19:00,193.35,193.35,192.87,193.0,4630.0
2021-03-31 13:18:00,193.2406,193.75,193.2406,193.25,10620.0
2021-03-31 13:17:00,192.75,193.2499,192.735,193.24,6199.0
2021-03-31 13:16:00,192.6,192.8405,192.37,192.589,4766.0
2021-03-31 13:15:00,193.29,193.29,192.7,192.71,7880.0
2021-03-31 13:14:00,192.88,193.2,192.6808,193.19,4620.0
2021-03-31 13:13:00,192.7058,192.88,192.6,192.71,4269.0
2021-03-31 13:12:00,193.266,193.29,192.65,192.65,4035.0
2021-03-31 13:11:00,192.694,193.41,192.694,193.1105,6262.0
